site_id,sample_id,site_code,day,month,year,date,latitude,longitude,waterbody_name,waterbody_type,state,EQR,EQC
LTL432,LTL432_25.4.2018,LTL432_2018,25,4,2018,25/4/2018,55.46645101,25.65052351,,lake,,0.57,Good
LTL433,LTL433_10.5.2016,LTL433_2016,10,5,2016,10/5/2016,55.64483424,25.94015226,,lake,,0.63,Good
LTL433,LTL433_4.5.2022,LTL433_2022,4,5,2022,4/5/2022,55.64483424,25.94015226,,lake,,0.81,High
LTL434,LTL434_24.4.2014,LTL434_2014,24,4,2014,24/4/2014,54.57542983,24.54148139,,lake,,0.35,Moderate
LTL434,LTL434_26.4.2022,LTL434_2022,26,4,2022,26/4/2022,54.57542983,24.54148139,,lake,,0.4,Moderate
LTL435,LTL435_4.5.2017,LTL435_2017,4,5,2017,4/5/2017,55.9756689,22.24943224,,lake,,0.34,Poor
LTL435,LTL435_26.4.2023,LTL435_2023,26,4,2023,26/4/2023,55.9756689,22.24943224,,lake,,0.38,Moderate
LTL436,LTL436_2.5.2016,LTL436_2016,2,5,2016,2/5/2016,55.64531848,22.29239704,,lake,,0.29,Poor
LTL436,LTL436_25.4.2023,LTL436_2023,25,4,2023,25/4/2023,55.64531848,22.29239704,,lake,,0.5,Good
LTL437,LTL437_10.5.2017,LTL437_2017,10,5,2017,10/5/2017,56.21502886,24.75777645,,lake,,0.66,Good
LTL437,LTL437_15.5.2023,LTL437_2023,15,5,2023,15/5/2023,56.21502886,24.75777645,,lake,,0.68,Good
LTL438,LTL438_19.5.2016,LTL438_2016,19,5,2016,19/5/2016,56.18254974,24.77789573,,lake,,0.44,Moderate
LTL438,LTL438_15.5.2023,LTL438_2023,15,5,2023,15/5/2023,56.18254974,24.77789573,,lake,,0.7,Good
